行政區,類型,幼兒園,可招生名額,登記名額,錄取名額,招生簡章網址,-
七股區,2歲,七農非營利幼兒園,15,16,15,https://reurl.cc/X4KKkD,
七股區,3歲以上,七農非營利幼兒園,16,13,13,https://reurl.cc/X4KKkD,
永康區,2歲,永仁非營利幼兒園,29,74,28,https://pse.is/424gr7,
永康區,3歲以上,永仁非營利幼兒園,1,53,1,https://pse.is/424gr7,
安平區,2歲,市府員工子女非營利幼兒園,1,35,1,https://tinyurl.com/ybfstgwj,
安平區,3歲以上,市府員工子女非營利幼兒園,43,31,19,https://tinyurl.com/ybfstgwj,
安南區,2歲,崑山土城非營利幼兒園,16,40,16,https://reurl.cc/mdeVeV,
安南區,3歲以上,崑山土城非營利幼兒園,0,0,0,https://reurl.cc/mdeVeV,
"東區 ",2歲,成大員工子女非營利幼兒園,0,0,0,https://pse.is/43aspn,
"東區 ",3歲以上,成大員工子女非營利幼兒園,2,19,2,https://pse.is/43aspn,
"南區 ",3歲以上,水交社非營利幼兒園,62,63,44,https://reurl.cc/2DpxoO,
"南區 ",3歲以上,擇仁非營利幼兒園,20,32,12,https://reurl.cc/Vjy8q6,
新營區,2歲,南新非營利幼兒園,31,82,31,https://pse.is/423xw5,
新營區,3歲以上,南新非營利幼兒園,1,40,1,https://pse.is/423xw5,
麻豆區,2歲,西拉雅非營利幼兒園,16,55,16,https://pse.is/43l2jl,
麻豆區,3歲以上,西拉雅非營利幼兒園,2,48,2,https://pse.is/43l2jl,
